96935	
	(0.0008913689811,0.0006546124649)	(-0.0007683020562,-0.0005629886711)	(-0.003860062115,-0.002827733935)	(0.0009374996321,0.0006884205007)	(-0.003865560208,-0.002831807673)
	(0.0008706142868,0.0006394424326)	(-0.003960506746,-0.002901302397)	(0.0008996353168,0.0006607420834)	(-0.003921585576,-0.00287284322)	(0.0008469782154,0.0006221625289)
	(-0.0008216089259,-0.0006020509315)	(-0.003968570706,-0.0029072561)	(0.0008297550677,0.0006095738116)	(-0.003916887228,-0.002869354432)	(0.0009160811978,0.0006727645393)
	(-0.003383674658,-0.002478610311)	(0.001296961449,0.0009514422797)	(-0.003358224507,-0.002459953337)	(0.001328575759,0.0009745890818)	(-0.003321760333,-0.002433247591)
	(0.001327001375,0.0009734177145)	(-0.003340819588,-0.002447224094)	(0.001295652613,0.00095046235)	(-0.0003810981218,-0.0002792901047)	(-0.003481490292,-0.002550248949)
	(0.001296557254,0.0009511947207)	(-0.003435626377,-0.002516641354)	(0.001330539664,0.0009760657067)	(-0.003426029376,-0.002509630683)	(0.001297246802,0.0009516725836)
	(-0.0004028072066,-0.000295200037)	(-0.003400659647,-0.002491032343)	(0.001329854098,0.0009755467115)	(-0.003490523027,-0.002556846841)	(0.001329773566,0.000975532002)
	(-0.00325767041,-0.002386294813)	(0.001385331731,0.001016129146)	(-0.003293478789,-0.002412522914)	(0.001358373711,0.0009963897931)	(-0.0003432444511,-0.0002515583286)
	(-0.003329552321,-0.002438942657)	(0.001360785347,0.0009981744218)	(-0.003291077891,-0.002410762492)	(0.00138801364,0.001018110471)	(-0.003025705141,-0.002216450173)
	(0.001434587767,0.001052147285)	(-0.003055188181,-0.002238044436)	(0.001439125698,0.001055487643)	(-0.003143432501,-0.002302636264)	(0.001404599081,0.001030201644)
	(-0.0002975768436,-0.0002180974673)	(-0.003172785704,-0.002324135809)	(0.001408605833,0.001033153107)	(-0.003205116688,-0.002347814754)	(0.001411900315,0.0010355828)
	(-0.0003120253113,-0.0002286870576)	(-0.003084408328,-0.002259446099)	(0.001443988595,0.001059065848)	(-0.003114652935,-0.002281598003)	(0.001447587416,0.001061718651)
	(-0.003237194153,-0.002371308566)	(0.001414965887,0.001037844988)	(-0.003652905249,-0.002675864869)	(0.001177851845,0.0008643370402)	(-0.003731606682,-0.002733516741)
	(0.001151616458,0.0008451618229)	(-0.003690020593,-0.002703052311)	(0.001166842009,0.0008562924158)	(-0.00379643914,-0.002781008458)	(0.001125422986,0.0008260104935)
	(-0.003751301934,-0.002747975839)	(0.001099838584,0.0008072518798)	(-0.003688172536,-0.002701731288)	(0.001123205674,0.0008243329157)	(-0.0005705607288,-0.0004181125346)
	(-0.003537592324,-0.002591337379)	(0.001294278386,0.0009495534556)	(-0.0004318340687,-0.0003164725946)	(-0.003560575791,-0.002608152409)	(0.00132736972,0.0009738055487)
	(-0.00357737199,-0.002620489709)	(0.001263221318,0.0009268246725)	(-0.003524960242,-0.002582067717)	(0.001328576616,0.000974672312)	(-0.00365404172,-0.002676665631)
	(0.001221741625,0.000896481811)	(-0.00360677745,-0.002642005089)	(0.001294343902,0.0009496352844)	(-0.003614269297,-0.002647533825)	(0.001231519232,0.0009036237384)
	(-0.0004846710449,-0.0003551852463)	(-0.003650134123,-0.002673777347)	(0.001262739859,0.0009265081015)	(-0.002833313228,-0.002076486346)	(0.0001023717526,7.552059757e-005)
	(-0.002810186419,-0.002059432993)	(9.066787579e-005,6.687549968e-005)	(-0.002842872253,-0.002083292148)	(0.0001151465855,8.462354654e-005)	(-0.002817352404,-0.002064796064)
	(6.639277164e-005,4.857493784e-005)	(-5.209185377e-007,-4.181286274e-007)	(-0.002832901844,-0.002076174008)	(5.868643436e-005,4.341633901e-005)	(-0.002824177663,-0.002069600038)
	(4.816844937e-005,3.541347748e-005)	(-0.00283171773,-0.0020752211)	(7.063238726e-005,5.185876754e-005)	(-0.003454811974,-0.00253138042)	(0.0005031579506,0.0003700909538)
	(-0.003396829815,-0.002488897538)	(0.0005338687862,0.0003925312161)	(-0.003424558517,-0.002509156585)	(0.0005825607241,0.0004282108462)	(-0.0009073739247,-0.0006648318489)
	(-0.003498548897,-0.002563343)	(0.0005705745794,0.0004194873793)	(-0.003423711974,-0.002508655781)	(0.0004551605606,0.0003349122153)	(-0.003366368724,-0.002466638771)
	(0.000485453925,0.0003570448832)	(-0.0009654266437,-0.0007073512998)	(-0.003386593329,-0.002481514386)	(0.000417017646,0.0003069414771)	(-0.003335624101,-0.002444172947)
	(0.0004415962156,0.0003248955933)	(-0.003351027226,-0.002455520144)	(0.0003752794996,0.0002763535575)	(-0.003608453052,-0.002643881092)	(0.0004897000693,0.0003603495246)
	(-0.00363919882,-0.002666342323)	(0.000544254295,0.000400317032)	(-0.003527354806,-0.002584508724)	(0.0004856780952,0.0003573475465)	(-0.003573662394,-0.002618350648)
	(0.0005515765974,0.0004056301393)	(-0.001005179314,-0.0007365080043)	(-0.003856689782,-0.002825590118)	(0.0005167721526,0.0003803347751)	(-0.00376588113,-0.002759126756)
	(0.0004930207892,0.0003628893933)	(-0.003795318519,-0.002780632335)	(0.0005556861172,0.0004087921839)	(-0.003672242902,-0.002690594708)	(0.0004728550133,0.0003480618141)
	(-0.003707294891,-0.002716207817)	(0.0005282216657,0.0003886262245)	(-0.001078180336,-0.0007900042229)	(-0.002865443796,-0.002100106601)	(0.0001289106189,9.530836833e-005)
	(-0.002964224757,-0.002172373633)	(0.0002372330208,0.0001746457003)	(-0.003150341634,-0.002308488337)	(0.0004280301494,0.0003147591964)	(-0.003141792555,-0.00230231269)
	(0.0003674222795,0.0002703603032)	(-0.003239989423,-0.002374260623)	(0.0003450701667,0.0002540956478)	(-0.003188069738,-0.002336219101)	(0.0003576902181,0.0002632863243)
	(-0.003303702748,-0.002420846689)	(0.0003943536701,0.0002902718328)	(-0.001023970022,-0.0007502279979)	(-0.003324245765,-0.002435953578)	(0.0003333182856,0.0002455825155)
