96935	
	(-2.686092904e-005,-2.253324227e-005)	(-7.251723987e-006,5.380477649e-006)	(-2.199179315e-005,-2.777439593e-005)	(-1.696853771e-005,-5.834285696e-006)	(-1.694697872e-005,-2.127828053e-005)
	(-8.011113039e-007,-6.479084362e-007)	(1.185737545e-006,-1.210555334e-007)	(-2.433801427e-005,-1.752329637e-005)	(-8.156362341e-006,8.029407567e-007)	(-2.158163402e-005,-1.552352706e-005)
	(-4.761520746e-006,3.770721159e-006)	(-1.210263008e-005,-2.006028254e-005)	(7.478376243e-007,6.386827196e-007)	(9.243463628e-005,-0.0003705536658)	(-0.000428140072,-0.0001050247587)
	(-3.297119399e-005,-0.0003747236004)	(-0.0004231759819,1.657296829e-005)	(-4.786474959e-005,-0.0005377826068)	(-0.0005949082618,4.928744038e-005)	(0.0001537269838,-0.0001592423388)
	(0.0001911943489,-0.0005817272251)	(-0.0006237747936,-0.0001787313203)	(4.585111832e-005,-0.0002591263411)	(-0.0003042712007,-2.622490338e-005)	(-4.798369723e-005,-0.0002595030283)
	(-0.0003061491429,1.775754708e-005)	(0.000161342482,-0.0001837050676)	(2.292369435e-005,-0.0001926239167)	(-0.0002343619534,-2.388642753e-005)	(-4.403514627e-005,-0.0001653929858)
	(-0.000211248517,2.686991923e-005)	(7.163869625e-006,-0.0001251833162)	(-0.0001663940284,-1.021840372e-005)	(0.0004896500897,-0.0003181619009)	(-0.000342828579,-0.000488629504)
	(0.0006756943304,-0.0004117801691)	(-0.0004496181977,-0.0006677922072)	(0.0002870747331,-0.0003364546833)	(-0.0003839431669,-0.0002810826213)	(0.0004494627388,-0.0005021561217)
	(-0.0005630886268,-0.0004165681351)	(5.699271544e-005,-0.0001854711423)	(0.001117405493,0.0004032138541)	(0.0003659110339,-0.001092242212)	(0.0008904642474,4.468701007e-005)
	(1.008044688e-005,-0.0008697068882)	(0.001170510747,5.049800964e-005)	(4.292375711e-006,-0.001155622743)	(0.0006308101546,-0.0001524056358)	(-0.0001819240491,-0.0005929756337)
	(0.0008505196179,-0.0002100645714)	(-0.0002428209028,-0.0008170122971)	(1.103574718e-005,-0.0002318667334)	(-1.811119743e-005,-3.193288009e-005)	(-1.520817797e-005,-1.055227283e-005)
