96935	
	(-0.001044554722,0.0001279388925)	(-0.006007796676,0.0007359823632)	(-0.001076395642,0.000134592591)	(-0.006009196203,0.0007362374037)	(-0.0009607158907,0.000120375326)
	(-0.005740757339,0.0007036820322)	(-0.0002500311138,3.297283214e-005)	(-0.005703811369,0.0006991814299)	(-0.0002127752376,2.839589749e-005)	(-0.005676137847,0.0006957846421)
	(-0.0001869518229,2.521276989e-005)	(-0.005705462077,0.0006993492399)	(-0.0002197228245,2.92370804e-005)	(-0.0004577617679,5.603446596e-005)	(-0.005815538076,0.0007128613793)
	(-0.000323418038,4.201537608e-005)	(-0.005763831738,0.0007065491397)	(-0.0002680882891,3.521261785e-005)	(-0.005771820884,0.0007074946278)	(-0.0002812511648,3.681996321e-005)
	(-0.0004861354642,5.950842826e-005)	(-0.005735775969,0.0007031050929)	(-0.0002433798523,3.216765892e-005)	(-0.00580362183,0.0007114336948)	(-0.0003109376719,4.04910781e-005)
	(-0.005507617718,0.0006751380274)	(-0.0001218380234,1.721516422e-005)	(-0.005609992244,0.0006876917458)	(-0.0001525407709,2.098648766e-005)	(-0.0004063971113,4.973735869e-005)
	(-0.00563676066,0.0006909775641)	(-0.0001776894149,2.408684595e-005)	(-0.005530922912,0.0006779982732)	(-0.0001449014614,2.005856903e-005)	(-0.004925603085,0.0006036562115)
	(1.084937926e-005,8.859992359e-007)	(-0.004942297484,0.0006057044695)	(-1.000663253e-005,3.458611089e-006)	(-0.005297603826,0.0006493572191)	(-4.619126675e-005,7.901240933e-006)
	(-0.0003455355948,4.227967034e-005)	(-0.005311050795,0.0006510058832)	(-6.774457958e-005,1.055962462e-005)	(-0.005334212316,0.0006538490719)	(-8.988294809e-005,1.32892666e-005)
	(-0.000364087477,4.455036622e-005)	(-0.004957845518,0.0006076123141)	(-2.962410689e-005,5.878772496e-006)	(-0.004975026971,0.0006097205057)	(-5.24499516e-005,8.69318954e-006)
	(-0.005354740675,0.000656368444)	(-0.0001126116877,1.609150732e-005)	(-0.005924538987,0.0007261075589)	(-0.0005400396618,6.865532235e-005)	(-0.005972339127,0.0007319544619)
	(-0.0006211720986,7.86394768e-005)	(-0.005945321399,0.000728650625)	(-0.0005781405583,7.334438058e-005)	(-0.006010649645,0.0007366411477)	(-0.0006947313828,8.768888332e-005)
	(-0.00596681771,0.0007312159863)	(-0.0006785268796,8.568494552e-005)	(-0.005929107449,0.0007266031862)	(-0.0006096288588,7.720680047e-005)	(-0.0007107261081,8.702979155e-005)
	(-0.005857025549,0.0007179544357)	(-0.0003680368913,4.751076023e-005)	(-0.0005252792747,6.430169474e-005)	(-0.005853783177,0.0007175908702)	(-0.000366616328,4.734914901e-005)
	(-0.005889196774,0.0007218689597)	(-0.0004190466978,5.378316682e-005)	(-0.005828945995,0.0007145424726)	(-0.0003388539123,4.392966687e-005)	(-0.005939158332,0.0007279583316)
