96935	
	(0.000176677748,0.0003225570828)	(-0.0001210111372,-0.0002548595348)	(0.0001441385389,0.0003688925403)	(-0.0001201384906,-0.0002664436573)	(0.0001597570876,0.0003418327682)
	(-0.0001077775688,-0.000263119876)	(0.0002563685941,0.0002193498406)	(0.0002769760175,2.186587981e-005)	(0.0004175241613,-0.0003548428699)	(0.0003647846986,-0.0001864150452)
	(6.897788419e-005,-0.0005275615377)	(0.0004935365123,6.311448626e-005)	(0.0004426326864,-0.0006019056251)	(0.0006538240319,-0.0003998448812)	(0.0005185084917,-0.0001948873519)
	(7.020696186e-005,-0.0006676988748)	(0.000680631263,-6.595726193e-005)	(0.0002346630229,-0.0008312859704)	(0.0006615204754,0.0001034348594)	(0.0004683744091,-0.0007528341232)
	(0.00107975521,0.0001504249593)	(0.0004857572001,-0.001201654126)	(0.0008815050654,-5.481691972e-005)	(0.0002375808806,-0.001034311392)	(0.0008668694497,0.0001705055788)
	(0.0005163534204,-0.0009647240073)	(0.0005002144142,-0.0004025128092)	(0.001078737548,-0.0001196874664)	(0.0001583460109,-0.001239508812)	(0.0002887831714,-0.0003566770462)
	(-0.0001903186277,-0.0004659110955)	(0.001322213605,-0.0002426754111)	(1.9425266e-006,-0.001464498294)	(0.0008253781779,0.001028013884)	(0.001457180343,-0.0008268237384)
	(0.001684022356,-0.0002986385504)	(-5.964608047e-005,-0.001880409731)	(0.001244141523,0.0004506871297)	(0.0007964877685,-0.001338780124)	(0.001681167904,0.0002015127989)
	(0.0005136849035,-0.001837915742)	(0.001313655474,0.0001156904244)	(0.000415655735,-0.001452802294)	(0.0003554114444,-0.0003833785753)	(0.001579893487,0.0006362238294)
	(0.001003978963,-0.00170871526)	(0.001339092139,0.001029757281)	(0.00145326543,-0.001410679171)	(0.001059371853,0.0007635047442)	(0.00115856692,-0.00112078394)
	(0.0004536652115,-0.000514667882)	(0.0005110406581,0.001215775119)	(0.001687805023,-0.0004413433609)	(0.0006056865482,-0.0006036460352)	(0.001030410776,0.001361034023)
	(0.001828881269,-0.001055339815)	(0.0001610167749,0.00132814607)	(0.001803302876,-3.728404289e-005)	(0.0006437870275,0.001588832587)	(0.002082641336,-0.0005972105195)
	(-8.722513465e-005,-0.0002235839809)	(0.0001806778473,-1.156370781e-005)	(-7.517674858e-005,-0.0002074192319)	(0.0001295223033,-2.117446022e-005)	(0.002256830774,-0.0008732022713)
	(-8.878167638e-005,-0.000207276832)	(0.0002339168746,1.248329793e-005)	(-7.56178795e-005,-0.0001878181416)	(0.0002201034401,-4.259362592e-006)	(-6.340857194e-005,-0.0001890511554)
	(0.0001319671038,-2.912453357e-005)	(1.499308859e-006,-0.0002306984624)	(-0.0001849096451,7.276446912e-005)	(-3.352494417e-005,-0.0002416362697)	(-0.0002114445681,0.0001677100645)
	(0.001693649854,-0.0006607751895)	(-7.359377585e-006,-0.0002903603092)	(-0.0002702687788,0.0001952204202)	(2.709320512e-005,-0.00024071315)	(-0.0002049284694,6.775618028e-005)
	(7.144705222e-005,-0.0002050546127)	(-0.0001308969135,-3.591963442e-005)	(-4.818434593e-006,-0.0001986205326)	(-8.934198083e-005,-7.082002684e-007)	(3.817666816e-005,-0.0001662554051)
	(-2.276516024e-005,-6.198942956e-005)	(2.574176115e-005,-0.0002003160372)	(-0.0001037220254,-1.18831899e-005)	(0.001701879631,-0.0006771242073)	(-2.498167791e-005,-0.0002010790546)
	(-7.341990447e-005,5.635965428e-006)	(0.001879155928,-0.0007376448099)	(4.879635264e-006,-0.0001750761193)	(-1.084044776e-005,-4.360373222e-005)	(-3.09480115e-005,-0.0001826348611)
	(2.76231639e-005,-3.47327876e-005)	(-3.650766722e-005,-0.0001281609674)	(0.0002053736612,-4.235878527e-005)	(-4.720016158e-005,-0.0001638262682)	(0.0001443677755,-4.402312339e-005)
	(0.002025323079,-0.0007971187459)	(-6.509971871e-005,-0.0001577701183)	(0.0002343009354,-1.495065259e-005)	(-1.434476622e-005,-0.0001426790486)	(0.0001142177561,-6.201757276e-005)
