96935	
	(-4.764590947e-005,-3.310859448e-005)	(-9.005706601e-005,1.325894891e-005)	(6.569035903e-007,-4.708929836e-005)	(-9.512565385e-005,-3.22373839e-005)	(-2.836768839e-005,-8.928541183e-005)
	(-0.0001821956915,1.431375645e-005)	(2.010578309e-005,-8.214484981e-005)	(-0.0001402846094,-6.244416347e-005)	(0.0002434975626,-0.0002911847958)	(-2.086721229e-005,-3.802875788e-006)
	(-4.346875486e-005,-2.72585832e-005)	(0.0002092970753,-0.0002652883888)	(-2.553492693e-005,-2.262759576e-006)	(-5.903702516e-005,-2.579436854e-005)	(-9.599207068e-006,-1.650400106e-005)
	(-6.268766738e-005,-2.180935409e-005)	(1.622471081e-005,-2.057379212e-005)	(-5.505659418e-005,-8.773279902e-005)	(-3.525287082e-005,-7.261372847e-006)	(-1.877574116e-005,-1.467347748e-005)
	(-3.298367669e-005,1.92737897e-006)	(1.227156426e-005,9.574570253e-006)	(4.435894554e-006,-7.742901126e-005)	(-0.0001255326171,-8.227297847e-005)	(-1.108418643e-005,-1.592235817e-005)
	(-1.048798156e-006,-3.120436424e-005)	(-1.718569109e-005,-5.716108785e-005)	(-3.667893031e-005,-3.299826455e-005)	(9.853305179e-006,-3.893174731e-005)	(-1.926985078e-005,-5.517561595e-005)
	(-1.992262156e-005,-8.844009476e-006)	(-7.283513043e-006,5.158765152e-006)	(-0.0001204943586,-3.479085398e-005)	(-0.0001157255411,7.802693648e-005)	(8.95167227e-005,-0.0001132883568)
	(-7.805945459e-005,7.236026144e-006)	(-4.297256436e-005,7.097434611e-005)	(6.993548572e-005,-5.299343648e-005)	(3.502011041e-005,-0.0001228159264)	(-1.713995404e-005,-2.548316323e-005)
	(-4.986282344e-006,2.522150763e-006)	(4.064087445e-006,-1.696284597e-006)	(-4.432386197e-006,-1.721271287e-005)	(-1.301183042e-006,-4.355259962e-006)	(2.631385506e-005,-3.738548181e-005)
	(-4.395949489e-005,-4.579609844e-005)	(-1.614469268e-005,2.867748012e-006)	(-3.843642709e-005,-4.032256182e-005)	(-2.758469213e-005,-6.317999732e-006)	(-1.181312167e-005,-2.51971712e-005)
