96935	
	(0.0002839947311,-0.0003766725568)	(-0.0001803871399,-0.0007490450235)	(-2.018810575e-005,-7.940742088e-005)	(0.0001656169226,-0.0001056560555)	(-0.0001092337008,-0.0008013037974)
	(4.809082962e-005,-0.0003451704363)	(-0.0001130272773,-0.0002110897732)	(0.000130127312,-0.0002147039638)	(2.90162273e-005,-0.0002794662123)	(0.0002970812345,-0.0002125523922)
	(5.117451876e-005,-0.0004109321845)	(-6.562862391e-005,-6.668938871e-005)	(0.0001791576283,-6.383218358e-005)	(0.0001452620653,-0.0005813353524)	(-0.0003753612743,-0.000326598382)
	(9.576195931e-005,-5.397248696e-005)	(0.0001986044675,-0.0001923700319)	(-1.20801306e-005,-0.0001498473654)	(7.129659509e-005,-0.0001594175711)	(-0.0001549015112,-1.95272735e-005)
	(0.0001623470674,-2.429323525e-005)	(-0.0001407575667,-2.516133631e-005)	(0.0001799657662,-1.149028295e-005)	(-0.0001502270412,-2.429287541e-005)	(0.0001679626145,-1.417580091e-005)
	(-0.000145976351,-2.708169374e-005)	(0.0001214752854,-6.098125113e-005)	(-0.001904407904,-0.001422655098)	(-0.001288780665,0.001708848258)	(-0.002655119785,-0.0003175724197)
	(-0.0002181982775,0.002570070151)	(-0.003063681266,-0.001842254837)	(-0.001802463213,0.002927854685)	(0.0001501999624,5.761494449e-005)	(-0.003515656347,-0.0004778087544)
	(-0.0003713562124,0.003363402208)	(-0.004229669198,-0.001349055805)	(-0.001238201635,0.004161139892)	(-0.003925701097,-0.002228828693)	(-0.002140351892,0.003712514238)
	(-0.006071323356,-0.002891478932)	(-0.002811786304,0.005929660131)	(-0.005282645058,-0.001633233689)	(-0.001521966863,0.005216376936)	(-0.004941633895,-0.002774496675)
	(-0.002637846398,0.004749359381)	(0.0005482476594,0.0003138988276)	(-0.006395762668,-0.001517169342)	(-0.001442784777,0.006321883373)	(-0.002511674918,0.0007631477099)
	(0.0007823228561,0.002405539016)	(-0.007787226837,-0.001175630257)	(-0.001040913503,0.007610163656)	(-0.004052408648,-0.007119306308)	(-0.006919709149,0.003904618144)
	(-0.009689075476,-0.001295635083)	(-0.001264022893,0.009706188923)	(-0.006631690165,-0.004555138339)	(-0.004375300873,0.006481075102)	(-0.009114157871,-0.003728764763)
