96935	
	(0.0022940633,0.003683385683)	(-6.273552123e-006,-1.127543211e-005)	(0.002301568391,0.003695356498)	(-8.237903385e-006,-1.43701276e-005)	(0.002296171337,0.003687035854)
	(-9.952558157e-008,-1.025513079e-006)	(8.046653402e-007,1.33817054e-006)	(0.002297351268,0.00368896235)	(-5.493558731e-007,-1.327276703e-006)	(0.002298903836,0.00369106878)
	(9.467808109e-007,1.146058742e-006)	(0.002297643567,0.003689244961)	(3.037391279e-006,3.66779093e-006)	(0.002694976257,0.004326275829)	(-6.247231905e-005,-0.0001034730347)
	(0.002665263065,0.004278568368)	(-9.539275099e-005,-0.0001562104422)	(0.002689371149,0.00431715865)	(-0.0001185438183,-0.0001933795742)	(0.0006193888358,0.0009942096048)
	(0.002732839186,0.00438689565)	(-9.527143806e-005,-0.0001561335821)	(0.002668986479,0.004284672716)	(-4.032610702e-005,-6.790180275e-005)	(0.002639629795,0.004237530953)
	(-7.218343673e-005,-0.000118921433)	(0.0006598403805,0.001059118224)	(0.002640304013,0.004238730613)	(-2.481831017e-005,-4.295389943e-005)	(0.00261381271,0.004196199016)
	(-5.311492806e-005,-8.827609811e-005)	(0.002611515634,0.004192645165)	(-7.583883464e-006,-1.528374976e-005)	(0.002787138006,0.004474097074)	(-2.023216688e-005,-3.58892101e-005)
	(0.002814914235,0.004518558131)	(-4.782027699e-005,-8.017623691e-005)	(0.002736660952,0.004393154348)	(-3.571629221e-005,-6.064238953e-005)	(0.002776332295,0.00445666644)
	(-6.654697025e-005,-0.0001101371628)	(0.0006867819169,0.001102408217)	(0.002945278707,0.004727643267)	(1.602934468e-005,2.20343927e-005)	(0.002885412688,0.004631675249)
	(1.225378487e-005,1.605650896e-005)	(0.002913100955,0.004675997318)	(-2.193012099e-005,-3.880348549e-005)	(0.002823768943,0.004532859255)	(4.960302832e-006,4.451811324e-006)
	(0.002854639593,0.004582281399)	(-2.25947229e-005,-3.978425863e-005)	(0.0007373506138,0.001183589155)	(0.002311511424,0.003711550508)	(-9.136701099e-006,-1.6122902e-005)
	(0.002370303316,0.003805852677)	(-2.817598322e-005,-4.728322523e-005)	(0.002503485001,0.004019236519)	(-8.636515321e-005,-0.000141317611)	(0.002488347266,0.003995088729)
	(-5.338961632e-005,-8.836315919e-005)	(0.002541324902,0.004080133913)	(-1.801427979e-005,-3.177916312e-005)	(0.002512873778,0.004034463443)	(-3.632976207e-005,-6.109120449e-005)
	(0.002587542325,0.004154139645)	(-3.127921424e-005,-5.31904942e-005)	(0.0007006136882,0.001124537013)	(0.002588470271,0.004155757602)	(1.228850868e-005,1.667233921e-005)
	(0.002530511991,0.00406262941)	(-6.574991986e-005,-0.0001083171471)	(0.0006159233918,0.0009885719694)	(0.002558126054,0.004106941299)	(-5.004524654e-005,-8.321707475e-005)
	(0.002541397921,0.004080365563)	(1.763008851e-005,2.533607394e-005)	(0.003013689559,0.004837302883)	(2.679029478e-005,3.921114392e-005)	(0.002973917833,0.004773480011)
	(-1.602838181e-005,-2.941278417e-005)	(0.0007259432325,0.001165305856)	(0.002976792904,0.004778153774)	(2.034531184e-005,2.891582281e-005)	(0.003015642946,0.004840318711)
	(-3.612293789e-005,-6.169285257e-005)	(0.00297972866,0.004782986046)	(9.581442115e-005,0.0001499410757)	(0.002979316038,0.004782262113)	(5.593142214e-005,8.598238957e-005)
	(0.0008013118014,0.001286279146)	(0.00301581031,0.004840766726)	(6.45322714e-005,9.973763582e-005)	(0.002947993571,0.004732057672)	(5.05917221e-005,7.745809949e-005)
	(0.002584543838,0.004149040041)	(-0.0001383789277,-0.0002249790547)	(0.002651404999,0.004255865071)	(-0.0002795014671,-0.0004515217897)	(0.002595292898,0.004165973263)
