96935	
	(-0.01430730294,0.007532814572)	(0.007590572599,0.01434171476)	(0.002484383372,-6.257096801e-005)	(-0.01725743179,0.006330030536)	(0.0065100532,0.0173452461)
	(-0.01364353933,0.004917454925)	(0.004970134641,0.0136168516)	(-0.01621928285,0.00869112235)	(0.008779438131,0.01625261356)	(-0.01269607838,0.000694916858)
	(0.0007990824467,0.01272735039)	(-0.01618350165,0.003432964955)	(0.003625745788,0.01612346215)	(-0.01273485574,0.002618887761)	(0.002753890033,0.01274148026)
	(0.001926511744,0.0006806958134)	(-0.01480994192,0.0008680951187)	(0.0009914197411,0.01477870961)	(-3.923951378e-006,4.361355565e-005)	(9.858031403e-006,1.215584451e-005)
	(-4.566899466e-006,3.729204042e-005)	(9.565434463e-006,2.965152244e-006)	(-1.258167289e-005,3.657789257e-005)	(5.485118361e-006,1.921097211e-005)	(-1.029726946e-005,2.720855713e-005)
	(-4.660843126e-007,1.041916172e-006)	(-8.8739603e-007,-1.104520023e-006)	(-1.487412256e-006,3.184993375e-005)	(6.038663145e-006,6.885294713e-006)	(-1.54175758e-006,2.793388853e-005)
	(6.578033298e-006,1.824710611e-006)	(-1.233038099e-005,2.18851301e-005)	(-3.237999305e-007,-1.371320058e-006)	(-0.0003497538337,8.442301641e-005)	(0.0001082336845,0.0004089505111)
	(-0.0002970101562,0.0001902360787)	(0.0002062661218,0.0003509069071)	(-0.0004266364388,0.0002779908202)	(0.0003177528041,0.0004785346048)	(-0.0002549869419,-4.626444877e-005)
	(-0.0005750317479,9.491405949e-005)	(0.0001337051104,0.0006078593923)	(-0.0002342758888,7.387443647e-005)	(0.0001198231842,0.0002666246695)	(-0.0001928231041,0.0001512250716)
	(0.0001539450577,0.0002545313354)	(-0.0002755044031,-4.155128194e-005)	(-0.0001690404545,6.254630064e-005)	(8.867500281e-005,0.000208390053)	(-0.0001155188083,0.000105107503)
	(0.000118036231,0.0001683170037)	(-0.0001056759368,4.537500813e-005)	(6.797254511e-005,0.0001456983083)	(-0.0004847056327,-0.0002750701791)	(-0.0002560390717,0.0005074006643)
	(-0.0006448302719,-0.0003939026154)	(-0.0003621487762,0.0006758222965)	(-0.0004075682707,-9.652994095e-005)	(-6.054096652e-005,0.0004472142327)	(-0.0006179646348,-0.0001617482121)
	(-9.124001207e-005,0.000655300045)	(-0.0002270192936,4.600297496e-005)	(-0.0001326148381,-0.001118413698)	(-0.001070905692,0.0001508212736)	(-0.000346681373,-0.0007730989694)
	(-0.0007325051235,0.0003682408689)	(-0.0004598570646,-0.001016272832)	(-0.0009740295855,0.0004927572501)	(-0.0004012348752,-0.0004688779637)	(-0.0004108568335,0.000408124847)
	(-0.0005463651082,-0.0006305011678)	(-0.0005762004267,0.0005585434082)	(-0.0002407720985,0.0001044826301)	(-1.923029366e-005,3.564642389e-005)	(-1.811733065e-007,2.053013598e-005)
	(-5.242711161e-006,4.639973623e-006)	(-2.506114397e-005,1.540679624e-005)	(5.937800762e-005,5.741614462e-005)	(5.022600412e-005,4.491922173e-007)	(2.525790719e-005,5.022399535e-005)
	(7.073137849e-005,2.398307995e-005)	(-2.151705024e-005,5.159650794e-005)	(5.861979387e-005,5.098998549e-005)	(1.317447253e-005,4.049372901e-005)	(1.891260343e-005,4.769532285e-005)
	(-6.988084607e-005,7.569534539e-005)	(8.719786574e-005,0.0001220285486)	(-0.0002741408415,-3.602342974e-005)	(-8.413571569e-005,2.927151241e-005)	(4.33382881e-005,0.0001319996747)
	(1.289018803e-005,0.000107588651)	(9.396789993e-005,4.190895647e-005)	(-0.0002982605399,-5.04477056e-005)	(-2.885634063e-005,8.948723284e-005)	(9.822277271e-005,7.523494923e-005)
	(-2.781219125e-005,1.563727821e-005)	(1.534867359e-005,6.185931416e-005)	(0.0002977508786,-0.001460190094)	(-0.00142310916,-0.0002557742688)	(-0.0001959033585,-0.001477548307)
	(-0.001411431865,0.0001958915346)	(-0.0003600063501,0.0002152904475)	(1.933199859e-005,-0.001294080965)	(-0.001245402934,-2.961706008e-005)	(-4.52879325e-005,-0.00192456736)
	(-0.001866929784,4.880334402e-005)	(0.000313597217,-0.0009161198327)	(-0.0008880177495,-0.0003096344716)	(0.000200319708,-0.001099918085)	(-0.001074228735,-0.0002065513644)
	(-0.0003693215697,0.0001146748407)	(0.0004400000605,-0.001188837631)	(-0.001152244074,-0.0004370591758)	(2.12394792e-005,-0.0009658586305)	(-0.000932839389,1.568261203e-005)
	(1.610729057e-005,0.000288958718)	(0.0002934088278,5.690423766e-005)	(-8.034381654e-005,0.001570355976)	(0.001558442959,0.0001662094553)	(0.0003378388931,0.0008457096254)
	(0.0008967966525,-0.0002771564019)	(-0.0001113468738,0.0005750841892)	(0.0006099341013,0.0001786617768)	(-0.0001925453461,0.0008604182056)	(0.0009604680705,0.0002873612509)
	(-0.0003041443496,-0.0001540520163)	(0.0003472349121,0.000566461969)	(0.0006132423329,-0.0002257229964)	(0.0002059271295,0.000382173345)	(0.0003945453154,-0.0001397904058)
	(-3.988220535e-005,0.0004042874484)	(0.000391125288,9.123722697e-005)	(-0.0003308801268,-0.0001059592145)	(0.009013919254,0.004319675264)	(0.004664197925,-0.008939524614)
	(0.005723382268,0.004374176255)	(0.004455149831,-0.0056215186)	(0.006234414091,0.006253945713)	(0.006491686644,-0.006229480824)	(-0.001059156956,-0.001545399759)
	(0.003402846585,0.006217863167)	(0.006406733187,-0.003355975332)	(0.003467884113,0.004537419438)	(0.004604604878,-0.003310554974)	(0.001197539659,0.005491456649)
	(0.005566001254,-0.001040514649)	(-0.000271447347,-0.001013046068)	(0.001913615788,0.00397480588)	(0.004061432731,-0.001784055141)	(0.0007430789991,0.003920129363)
