96935	
	(0.01509321079,0.0245544478)	(0.02523289667,-0.01560038847)	(0.006992067611,0.02447199487)	(0.02489217969,-0.007155878499)	(0.01109768421,0.02654169488)
	(0.02725889725,-0.01154697381)	(0.01030386913,0.02323923467)	(0.02366223863,-0.01044384117)	(-0.0002964950045,-0.004814535432)	(0.007313245108,0.02783751351)
	(0.02869209396,-0.007722213585)	(0.003360291465,0.02856054461)	(0.02944456517,-0.003676871653)	(0.00352241995,0.02519126761)	(0.02567040871,-0.003671866914)
	(0.0009465666424,-0.004580205082)	(-0.003553114735,0.02522445106)	(0.02573719138,0.00354439487)	(0.002111658845,-0.004020366313)	(-0.0006414544471,0.02877194832)
	(0.02977909742,0.0003935350886)	(-0.00705089571,0.02450015285)	(0.02503292531,0.00703819677)	(-0.004457069859,0.02844625343)	(0.02945334336,0.004278605896)
	(0.0005183875274,-0.0019336091)	(-0.001883315277,-0.0004852602631)	(0.0003843531394,-0.002573581673)	(-0.002531188291,-0.0003390775153)	(-0.0005145607358,0.0002013306913)
	(0.0009430654668,-0.002395709253)	(-0.002372598546,-0.000921529093)	(0.001022755954,-0.00310857028)	(-0.003064686218,-0.0009780361861)	(0.0004520093105,-0.003278985643)
	(-0.003233808809,-0.0003891450966)	(-0.002942807987,-0.004521624049)	(-0.004501883028,0.003034172805)	(-0.003386988128,-0.003473903757)	(-0.003432024133,0.003465948353)
	(-3.425316403e-005,0.0006370315461)	(-0.005073366767,-0.004361564659)	(-0.004270450791,0.005093425638)	(-0.00360245869,-0.005235697698)	(-0.005136319666,0.003676551354)
	(-0.00284611964,-0.006462666345)	(-0.006321840813,0.002885818029)	(-0.001763151096,-0.004683890713)	(-0.004643583615,0.00177676767)	(-0.001353399389,-0.006123068557)
	(-0.006027089096,0.001390605751)	(-0.002277169446,-0.005522526252)	(-0.005404645036,0.002252667829)	(-0.0003583806341,0.0009110994541)	(-0.001335411868,-0.004002677123)
	(-0.00393164403,0.001393926324)	(-0.0003717920419,0.0005693400344)	(-0.0009615342187,-0.005176257862)	(-0.005138883544,0.001017371415)	(-0.0004214792795,-0.004183004506)
	(-0.004104302143,0.0004864750137)	(0.001078317882,-0.005110178825)	(-0.005054404762,-0.001043909919)	(0.0005406805218,-0.004166439077)	(-0.004092995361,-0.0004603926856)
	(-0.0006747256138,0.0004411862711)	(0.001263227168,-0.003980458579)	(-0.003921295563,-0.001215040514)	(0.0002148602873,-0.005244554368)	(-0.005217236966,-0.0001852199553)
	(-0.01364864836,0.008760303722)	(0.008923751893,0.01371078116)	(-0.01483632674,0.01081908847)	(0.01096151498,0.01494491551)	(-0.01305866427,0.01290294984)
	(0.01311085705,0.01319177522)	(-0.01188974852,0.01099017118)	(0.01110272829,0.01194745443)	(0.002337095117,-0.001052281683)	(-0.01598289261,0.002896168685)
	(0.003016244966,0.01603386133)	(-0.0175251083,0.005731605636)	(0.005978170503,0.0176338449)	(-0.01504583409,0.006249119676)	(0.006392166991,0.0150441018)
	(0.002609384886,3.79526969e-005)	(-0.0165569277,0.008123909708)	(0.008238191756,0.01665451881)	(-0.01837840986,0.001863046822)	(0.002047381175,0.01851998777)
	(-0.015336858,0.01723297078)	(0.01757980649,0.0155436401)	(-0.01427876739,0.01504988272)	(0.01537140858,0.01445803738)	(0.003112550455,-0.001473997733)
	(-0.01639168559,0.01281552368)	(0.01305950852,0.01656361539)	(-0.01763288463,0.0149114309)	(0.01529631905,0.01781206358)	(-0.008353246601,0.02757598898)
	(0.02864741478,0.008306466921)	(-0.01214833454,0.02611376105)	(0.02720047229,0.01217596472)	(-0.01043921262,0.02325017429)	(0.02381498564,0.01049745697)
	(0.003105923504,-0.003125587731)	(-0.01356291612,0.0216183478)	(0.0222325505,0.01363684457)	(-0.01645987259,0.01953172053)	(0.02006720247,0.01658563662)
	(0.003821468179,-0.002058334246)	(-0.01566908185,0.0242195126)	(0.02529076928,0.01585401493)	(-0.01891232299,0.02176439831)	(0.02282855309,0.01919442382)
	(-0.01907212221,0.01706502974)	(0.01762394629,0.01919123035)	(-0.009715333362,-0.004929527587)	(-0.004830450785,0.009817369198)	(-0.007343600282,-0.007174424838)
	(-0.007109645003,0.00745443738)	(-0.008726348603,-0.006141649147)	(-0.006063385819,0.00870050957)	(-0.005127372657,-0.008446537024)	(-0.008376506518,0.005147339151)
	(-0.005558900891,-0.006570660706)	(-0.006545116825,0.005572876294)	(-0.007302804282,-0.005229028979)	(-0.005224754077,0.00732973222)	(0.0004327508997,0.001257495677)
	(-0.0162531879,-0.000622163252)	(-0.0005913412248,0.01631689434)	(0.002201816831,0.001191081317)	(-0.01820692978,-0.003134338067)	(-0.003024097528,0.01837793068)
	(-0.01437337091,-0.00255657079)	(-0.002499849738,0.0143816143)	(-0.01848529233,-0.0005745400919)	(-0.000515843698,0.01856420899)	(-0.01144789298,-0.005748780592)
	(-0.005676433703,0.011531064)	(-0.01583470976,-0.005107935662)	(-0.004913903649,0.01588422466)	(-0.01243887403,-0.004097099471)	(-0.0039863931,0.01251651898)
	(0.001346694211,0.001554009673)	(-0.01336880655,-0.00665007598)	(-0.006529761008,0.01340834832)	(-2.710773997e-005,3.504271805e-005)	(1.607004206e-006,1.576474378e-005)
	(-2.411780312e-005,2.944700506e-005)	(6.457688444e-006,7.839700375e-006)	(-3.047371171e-005,2.431325913e-005)	(-5.926969713e-006,1.926952987e-005)	(-2.323975877e-005,1.781766865e-005)
	(-8.478636206e-007,6.455657365e-007)	(-1.343775964e-007,-1.391658525e-006)	(-1.855763915e-005,2.65224386e-005)	(1.287207532e-006,9.166861413e-006)	(-1.640799145e-005,2.321329641e-005)
	(4.53284921e-006,5.203626187e-006)	(-2.200766019e-005,1.223217332e-005)	(6.206241626e-007,-1.265407e-006)	(-0.0003551550912,-0.0001014689569)	(-0.0001134030235,0.000418681271)
	(-0.0003620261267,2.008190435e-005)	(4.025610053e-006,0.0004166288952)	(-0.0005225118897,3.15768498e-005)	(3.613457501e-005,0.0005880576311)	(-0.0001866708209,-0.0001775391819)
	(-0.0005599266528,-0.0002066466596)	(-0.000191994422,0.0006083176471)	(-0.0002472771069,-5.210322084e-005)	(-3.07511691e-005,0.000298821332)	(-0.0002495813828,3.841357904e-005)
	(6.680557661e-006,0.0003032782918)	(-0.0002084972598,-0.0001836839363)	(-0.0001830943669,-2.87626945e-005)	(-2.83472719e-005,0.0002305269259)	(-0.0001572350311,3.689058112e-005)
	(1.903938215e-005,0.0002089675398)	(-0.0001178058795,-1.175412967e-005)	(-1.433125584e-005,0.0001639147233)	(-0.0002917814662,-0.000489698643)	(-0.0004866881684,0.0003211770288)
