96935	
	(-0.0006385786405,-0.004185744952)	(0.009277273767,0.02282978891)	(0.02323435435,-0.009706010769)	(0.006056377818,0.02395652715)	(0.02436079047,-0.006395371813)
	(0.0005762054936,-0.004153563698)	(0.01015303964,0.02587897368)	(0.02663747197,-0.0108880437)	(0.006463545888,0.02708037887)	(0.02791339496,-0.007137368374)
	(0.002689767021,0.02465590086)	(0.02506942793,-0.003048305204)	(-0.009598426335,0.005025153352)	(0.005154939438,0.009585021566)	(-0.01008971195,0.001839447806)
	(0.001958881614,0.01010791924)	(-0.01002575456,0.003541407341)	(0.003558679225,0.009959803149)	(-0.009882215875,-0.0006831718626)	(-0.0006332608536,0.009845393303)
	(-0.008593566029,0.0007239655413)	(0.0007444438095,0.008589792055)	(-0.008486258255,0.002901760333)	(0.002920522586,0.008506611975)	(0.001288565175,0.0003591975155)
	(-0.009780948495,0.01268215026)	(0.0127456007,0.009803959739)	(0.002224975688,-0.001090022523)	(-0.01287500819,0.01285809605)	(0.01305204505,0.01289404263)
	(-0.0102887679,0.01010108719)	(0.01013401056,0.01026033315)	(-0.01097682927,0.01449335241)	(0.01458679748,0.01098804003)	(-0.01123121928,0.005965980216)
	(0.00606735057,0.01122947203)	(-0.01314960933,0.009861751233)	(0.0100022744,0.01303480165)	(-0.01044957634,0.00768783342)	(0.007804552386,0.01041517664)
	(0.002038256911,-0.0002092793596)	(-0.01302783739,0.007015195976)	(0.007108836325,0.0129657762)	(8.518829182e-006,3.943468126e-005)	(1.145062915e-005,8.240554069e-006)
	(6.612326276e-006,3.44268826e-005)	(9.022626289e-006,3.916064327e-007)	(-4.487857641e-007,3.542512575e-005)	(9.494181567e-006,1.520190818e-005)	(-2.876404532e-007,2.719809432e-005)
	(1.886902481e-007,9.867019997e-007)	(-9.894288328e-007,-6.613654131e-007)	(7.80122313e-006,2.896421259e-005)	(6.867339574e-006,4.545126642e-006)	(6.921304751e-006,2.566861024e-005)
	(6.080340717e-006,7.019445773e-008)	(-3.300227402e-006,2.321071437e-005)	(-2.055682773e-007,-9.891097148e-007)	(-0.0003053404292,0.0002294019239)	(0.0002661727203,0.0003514066545)
	(-0.0002106148959,0.0003116882327)	(0.000338968339,0.0002538818241)	(-0.0003018349649,0.000447661715)	(0.0004929062849,0.0003367346834)	(-0.0002197215449,2.668015815e-005)
	(-0.00051511944,0.0003310881363)	(0.000371586406,0.0005319423865)	(-0.0001989406393,0.0001722624334)	(0.0002196826494,0.000212153977)	(-0.0001263327977,0.0002317031974)
	(0.0002488658661,0.000179195102)	(-0.0002410543423,4.086472618e-005)	(-0.0001392228478,0.0001350872716)	(0.0001668859724,0.0001662720825)	(-7.007807644e-005,0.0001561555408)
	(0.0001809382367,0.000112301165)	(-8.447846668e-005,9.266551345e-005)	(0.0001227385902,0.0001128191276)	(-0.0005806792255,-6.165095235e-005)	(-4.185687717e-005,0.0005954248079)
