96935	
	(0.002547877435,-0.001750461749)	(-0.00121144373,0.0008313586981)	(0.002551188603,-0.001752716624)	(-0.001161936991,0.0007973524939)	(0.0002238444649,-0.0001537204752)
	(0.00247755085,-0.001702139313)	(-0.001214488801,0.0008334778615)	(0.002453225695,-0.001685424513)	(-0.001205278839,0.0008271627003)	(0.002443615433,-0.001678817857)
	(-0.001170899326,0.000803556683)	(0.002499267383,-0.00171703267)	(-0.001131797667,0.0007766738417)	(0.002430292189,-0.001669665744)	(-0.00119553993,0.0008204835275)
	(0.002479932208,-0.001703772756)	(-0.001185009719,0.0008132322564)	(0.0001946713493,-0.0001336823736)	(0.002463050347,-0.001692146219)	(-0.001118804417,0.0007677652449)
	(0.002422547596,-0.001664249024)	(-0.001345335252,0.000923312115)	(0.002377473606,-0.001633279755)	(-0.001327608287,0.0009111593675)	(0.002228661658,-0.001530904687)
	(-0.001362141134,0.0009348792373)	(0.002214678583,-0.001521301081)	(-0.00135304208,0.0009286396108)	(0.00224638209,-0.001543077933)	(-0.001371056315,0.0009409913811)
	(0.002397393139,-0.001646965518)	(-0.001336117289,0.0009169934021)	(0.0001970497379,-0.0001353025883)	(0.002493667169,-0.001713114326)	(-0.001368717988,0.0009393360495)
	(0.0002217505515,-0.0001522632072)	(0.002448685947,-0.001682209046)	(-0.00135378344,0.0009291017833)	(0.0002103712775,-0.000144449792)	(0.002003937467,-0.001376272889)
	(-0.001414305395,0.0009706832715)	(0.002470704123,-0.00169733696)	(-0.001361749444,0.0009345616583)	(0.002309944068,-0.001586745978)	(-0.001397176374,0.000958893267)
	(0.002293455536,-0.001575420508)	(-0.001389465489,0.0009536086794)	(0.002266951103,-0.001557208897)	(-0.001380385949,0.0009473869284)	(0.002513606717,-0.001726813236)
	(-0.00137567258,0.0009441015)	(0.0025570797,-0.001756681218)	(-0.001388869393,0.0009531420092)	(0.00232457847,-0.001596797704)	(-0.001404944805,0.0009642181442)
	(0.002338534163,-0.001606382571)	(-0.00141116563,0.0009684800906)	(0.002534552505,-0.001741203647)	(-0.001382131047,0.0009485259819)	(0.000232555522,-0.0001596823155)
	(0.003660082199,-0.002514317234)	(-0.0005871166904,0.0004017729222)	(0.003607906183,-0.002478466844)	(-0.0006150920934,0.0004210261596)	(0.003708492223,-0.002547580297)
	(-0.0005574805122,0.0003813795668)	(0.003585080105,-0.002462833556)	(-0.0007002363868,0.0004795574037)	(0.0008922856721,-0.0006128410208)	(0.003637261949,-0.002498688923)
	(-0.0006754287481,0.0004624814612)	(0.003634227061,-0.002496650083)	(-0.0007421762767,0.0005083591408)	(0.003591561351,-0.0024673333)	(-0.0007605669267,0.0005210187161)
	(0.00380209388,-0.002611908154)	(-0.0005213949504,0.0003565359966)	(0.003754541283,-0.00257922772)	(-0.0005402927753,0.000369545429)	(-0.01452249535,0.009983759573)
	(0.001295216508,-0.0008925268397)	(-0.0142559251,0.009800548055)	(0.001252146729,-0.0008629263967)	(0.003639764522,-0.002500501525)	(-0.0008065153136,0.000552575171)
	(0.003628182784,-0.002492584147)	(-0.0008730876462,0.0005983336467)	(0.00358632742,-0.002463824211)	(-0.0008881160315,0.0006086803108)	(0.00359632202,-0.002470650374)
	(-0.0008227079572,0.0005637244746)	(0.0007855105188,-0.0005394926194)	(0.003460766737,-0.002377642438)	(-0.001064821068,0.0007301754554)	(0.003448408942,-0.002369116018)
	(-0.001016332503,0.0006968590976)	(0.003507179871,-0.002409514839)	(-0.001023423581,0.0007017060249)	(0.003403936156,-0.002338576413)	(-0.001053283388,0.0007222733691)
	(0.0005752517556,-0.0003950687753)	(0.003493500945,-0.002400080021)	(-0.0009745815847,0.0006681470633)	(0.0006484222285,-0.0004453277183)	(0.003533663107,-0.002427677167)
	(-0.0009641723356,0.0006609742226)	(0.003420317568,-0.002349857228)	(-0.001085744845,0.0007445728034)	(0.003452650113,-0.002372120249)	(-0.001149027126,0.0007880454672)
	(0.003401015043,-0.002336623353)	(-0.001134032733,0.0007777648872)	(0.003437898546,-0.002361962031)	(-0.001117903492,0.0007666645183)	(0.0005356536908,-0.0003678643883)
