96935	
	(-0.002348576374,-0.003527128626)	(-0.0002628107043,-0.0003946932144)	(-0.002362706956,-0.003548350155)	(-0.000258888012,-0.000388802054)	(-0.0004769922033,-0.0007163543299)
	(-0.002380697797,-0.00357536908)	(-0.0002889656904,-0.0004339731804)	(-0.002341175474,-0.003516013839)	(-0.0002985803162,-0.0004484125754)	(-0.002333232089,-0.003504084339)
	(-0.0002670522233,-0.0004010631938)	(-0.0005079585008,-0.0007628599985)	(-0.00232470369,-0.003491276257)	(-0.0002971974852,-0.0004463358183)	(-0.002318224567,-0.003481545809)
	(-0.0002672697539,-0.0004013898847)	(-0.002307574668,-0.003465551624)	(-0.0002960013307,-0.0004445394149)	(-0.002395113449,-0.003597018732)	(-0.0003563824456,-0.0005352207148)
	(-0.002413676001,-0.003624896261)	(-0.0003489501166,-0.0005240587273)	(-0.002372596875,-0.00356320299)	(-0.0003278344916,-0.0004923469523)	(-0.002397723268,-0.003600938199)
	(-0.0003233347729,-0.0004855892046)	(-0.0005294965283,-0.0007952061441)	(-0.002470102969,-0.003709639162)	(-0.0004350669766,-0.0006533903706)	(-0.002439862667,-0.003664223805)
	(-0.0004127392869,-0.000619858298)	(-0.002459539435,-0.003693774682)	(-0.0003994046214,-0.0005998320895)	(-0.002408936634,-0.003617778606)	(-0.0003864815569,-0.0005804240296)
	(-0.002429689107,-0.003648944993)	(-0.0003796200041,-0.0005701192426)	(-0.0005691145133,-0.0008547050518)	(-0.002220053181,-0.00333411049)	(-0.0001034810039,-0.0001554093856)
	(-0.002221956901,-0.003336969527)	(-0.0001572699725,-0.0002361904974)	(-0.002276542555,-0.003418947113)	(-0.0002024214635,-0.0003039997108)	(-0.002264345166,-0.003400628884)
	(-0.0002130859109,-0.0003200157442)	(-0.002279879251,-0.003423958215)	(-0.0002561246168,-0.0003846519439)	(-0.002270368295,-0.003409674513)	(-0.0002344573046,-0.0003521116366)
	(-0.002302743548,-0.003458296174)	(-0.0002700376931,-0.0004055468189)	(-0.0005391345075,-0.0008096806115)	(-0.002292880191,-0.00344348323)	(-0.0002989556469,-0.0004489762529)
	(-0.00228431381,-0.003430618106)	(-0.0002269573652,-0.0003408481106)	(-0.0004737056507,-0.0007114185341)	(-0.002293123754,-0.003443849016)	(-0.0002473153397,-0.0003714220343)
	(-0.00226979471,-0.003408813094)	(-0.0002790096168,-0.0004190209939)	(-0.002504449655,-0.00376122155)	(-0.0004650288264,-0.000698387544)	(-0.00249053565,-0.003740325282)
	(-0.0004240001469,-0.0006367700332)	(-0.0005616080344,-0.0008434317047)	(-0.002485906997,-0.003733373898)	(-0.0004490461396,-0.0006743844956)	(-0.00251549997,-0.003777817086)
	(-0.000424133926,-0.0006369709447)	(-0.002474208122,-0.003715804345)	(-0.0005003122162,-0.000751376689)	(-0.002480950552,-0.003725930231)	(-0.0004731966839,-0.0007106541597)
	(-0.0006198339116,-0.0009308762353)	(-0.00249910999,-0.003753202359)	(-0.000490749043,-0.0007370145663)	(-0.002465563671,-0.003702821974)	(-0.000458563915,-0.0006886784392)
	(-0.00231740567,-0.003480315977)	(-0.0002074227325,-0.0003115106946)	(-0.002362289527,-0.003547723253)	(-0.0001522033991,-0.0002285814385)	(-0.002333199956,-0.003504036082)
	(-0.0001488648121,-0.0002235674965)	(-0.002343080923,-0.003518875472)	(-0.0001991427568,-0.000299075698)	(-0.00235692508,-0.003539666842)	(-0.0001923187758,-0.0002888273369)
	(-0.0003908313954,-0.0005869566848)	(-0.002320958634,-0.003485651874)	(-0.0001576894875,-0.0002368205316)	(-0.002314433016,-0.003475851599)	(-0.0001761011247,-0.0002644714155)
	(-0.002331131932,-0.003500930291)	(-0.0002028082742,-0.0003045806292)	(-0.0004165056965,-0.0006255147508)	(-0.002314020002,-0.003475231328)	(2.839786566e-005,4.264835753e-005)
	(-0.002327668423,-0.00349572874)	(-4.961840911e-006,-7.451770063e-006)	(-0.002336950902,-0.003509669311)	(3.950349389e-006,5.932696321e-006)	(-0.0001878360886,-0.0002820951672)
	(-0.002355862195,-0.003538070585)	(-2.81624242e-005,-4.229476787e-005)	(-0.002345275697,-0.003522171617)	(-3.538263984e-005,-5.313820033e-005)	(-0.00237104265,-0.00356086883)
	(-6.136037578e-005,-9.215196931e-005)	(-0.0002409300402,-0.0003618324919)	(-0.002352845703,-0.003533540371)	(-6.071715789e-005,-9.118597465e-005)	(-0.00236805465,-0.003556381406)
	(-8.524123065e-005,-0.0001280166096)	(-0.002335894485,-0.003508082768)	(-0.0001109200415,-0.0001665814481)	(-0.002363018858,-0.003548818574)	(-0.0001060631389,-0.0001592872762)
	(-0.0002893604171,-0.0004345659872)	(-0.002351263661,-0.003531164436)	(-8.463877941e-005,-0.0001271118389)	(-0.002336140563,-0.003508452332)	(-9.079368888e-005,-0.000136355378)
	(-0.002288209201,-0.003436468265)	(-0.0001725029957,-0.0002590676892)	(-0.002286603132,-0.003434056246)	(-0.0001943233255,-0.0002918378008)	(-0.002304279769,-0.003460603294)
	(-0.0001770904784,-0.0002659572423)	(-0.002306788579,-0.003464371064)	(-0.0002075353373,-0.0003116798062)	(-0.0004366496434,-0.0006557672443)	(-0.002269999493,-0.003409120641)
	(-0.0001810289574,-0.0002718721115)	(-0.0003988727794,-0.0005990333608)	(-0.002272062757,-0.003412219282)	(-0.0001603320853,-0.0002407892261)	(-0.002258133942,-0.003391300771)
	(-0.0001550143609,-0.0002328029847)	(-0.002255394726,-0.003387186974)	(-0.0001721549401,-0.0002585449739)	(-0.00224709695,-0.003374725245)	(-0.0001488367436,-0.0002235253428)
	(-0.002236024605,-0.003358096625)	(-0.0001368526037,-0.0002055273746)	(-0.002233003528,-0.003353559524)	(-0.000153040426,-0.0002298384986)	(-0.002227181254,-0.003344815542)
