96935	
	(-0.000165051257,0.000231746636)	(0.001518873561,0.00230194038)	(0.002353775045,-0.001293493878)	(-9.887145148e-005,0.002718435358)	(0.002716607864,0.0003505102874)
	(0.003817046352,0.001314394858)	(0.001411709686,-0.00376812548)	(0.003111253236,0.001294656857)	(0.001360331306,-0.003068669326)	(-0.0006128629527,0.0002098625383)
	(0.002720817939,0.002016244192)	(0.002101026443,-0.002600684709)	(0.003409841347,0.002191778201)	(0.002267250822,-0.003316942707)	(0.005389775777,-0.002481883489)
	(-0.002512865185,-0.005507410795)	(0.005863608154,-0.001110711741)	(-0.001115595565,-0.005941262597)	(0.00470024275,-0.0008895334358)	(-0.000890432785,-0.004701797129)
	(-0.0009968811644,0.0004805555709)	(0.004821545501,0.0001968884003)	(0.0002000452577,-0.004795425269)	(0.004639906645,0.001336167781)	(0.001389755355,-0.004570418392)
	(-0.0009239226112,0.000103991838)	(0.006034648336,0.0002588636857)	(0.0003249785166,-0.006112772018)	(0.00578312182,0.001726177283)	(0.001803384276,-0.005831370235)
	(0.004257085249,0.002406014311)	(0.002423378979,-0.004138808215)	(-0.0008748339334,0.0004915229678)	(0.0003192071758,0.001213805066)	(-0.0008681126926,-8.406169612e-005)
	(-0.0003527972,0.001210761141)	(-0.0009046332819,0.0002238174302)	(-4.57409715e-005,0.001242395979)	(-0.0007005813582,-0.0004860070819)	(-0.0008327827185,0.0009923150113)
	(-0.0005683033271,-0.0001914875553)	(-0.0005179130354,0.000899990809)	(-0.0006393405455,0.0001354845929)	(-0.000118983754,0.001011799377)	(0.000140465251,0.001011093661)
	(-0.000584218791,0.002063677674)	(0.002008558963,0.0009212830459)	(0.0001481315498,0.0003593164178)	(-0.001343476521,0.002333671258)	(0.002277636389,0.001671799741)
	(-0.0008643687257,0.001519258717)	(0.001393837783,0.001202212554)	(-0.0007060020943,0.002608760236)	(0.002537581235,0.001052874055)	(-0.001171717836,0.0006639429232)
	(0.000485283548,0.001525691461)	(-0.001578754138,0.001589583814)	(0.001459481857,0.001865678931)	(-0.001000565335,0.001023651614)	(0.0008782802852,0.001322277525)
	(0.0002551584811,0.0006910175273)	(-0.001559022202,0.0009079272005)	(0.0007018101467,0.001891363867)	(0.0002922956838,-3.596605446e-006)	(3.483883144e-005,-1.752839816e-005)
	(0.0002902366813,-6.737412844e-006)	(6.554070146e-006,-3.292626342e-005)	(0.0002734075619,1.348376115e-005)	(3.838326429e-005,2.533915942e-005)	(0.0002951135353,-8.645368987e-006)
	(-7.011531801e-006,-2.963014461e-005)	(2.070924572e-006,7.593460333e-008)	(0.000290282463,-2.794341146e-006)	(1.147642388e-005,-1.534790441e-005)	(0.0003012382716,-2.714592752e-006)
	(2.610229955e-006,-1.877153179e-005)	(0.0002909448672,-1.222467838e-006)	(2.468725304e-005,-1.531162238e-005)	(0.0002148161626,-2.835879985e-005)	(-0.0001536661419,0.0001850816282)
	(0.0002129788077,-1.420877048e-005)	(-4.601280881e-005,0.0001653191042)	(0.000203050558,-1.501741008e-005)	(-4.785126155e-005,0.0001794113775)	(-9.800402436e-006,0.001583328644)
	(0.0002044792904,-2.294804378e-005)	(-0.000169204994,0.0001921504639)	(0.0002245719367,-2.154168043e-005)	(-0.0001325226041,0.0001710804672)	(0.0002197999021,-1.921480707e-005)
	(-3.489829447e-005,0.0001490264086)	(-1.890433482e-006,0.001686023293)	(0.0002261061928,-2.271427364e-005)	(-9.804496037e-005,0.0001667634707)	(0.0002274151733,-1.343898634e-005)
	(-2.383692519e-005,0.0001271786329)	(0.0002376540988,-1.903174276e-005)	(-8.425820179e-005,0.0001519320113)	(0.0002215712745,-3.823455068e-005)	(-0.0003350696092,0.0001141975898)
	(0.0002107053409,-4.183665421e-005)	(-0.0003420673911,0.0001190521391)	(0.0002217206938,-2.788261201e-005)	(-0.0002430205411,0.0001796290612)	(0.000204548734,-2.908468345e-005)
	(-0.0002535632415,0.000190946291)	(6.388579123e-006,0.001776329574)	(0.0002501384247,-4.797462601e-005)	(-0.0003678708663,-0.0001155764074)	(0.0002376587833,-4.708146291e-005)
	(-0.0003834134184,-3.558089971e-005)	(0.0002290398414,-5.209108464e-005)	(-0.0004006717796,-3.584506594e-005)	(0.0002333561095,-4.491089354e-005)	(-0.0003610080153,4.962230972e-005)
	(0.0002219630107,-4.630667637e-005)	(-0.0003796673954,4.639040884e-005)	(1.75253916e-005,0.001925319983)	(0.0002662394996,-1.020564175e-005)	(8.523135407e-006,4.545313665e-005)
	(0.0002585197154,-2.111400282e-005)	(-0.0001315991609,7.633841661e-006)	(0.0002371367038,-1.677816747e-005)	(-3.419905122e-005,-9.896480457e-005)	(0.0002351440645,-9.792438411e-006)
	(-1.269768606e-005,-7.39378418e-005)	(0.0002481788861,-3.341303502e-006)	(1.490531463e-005,5.477157485e-005)	(0.000252882078,-2.024415926e-005)	(1.699022132e-005,-1.906543928e-005)
	(0.0002342487164,-1.506163995e-005)	(-9.865848746e-008,0.0001066261773)	(7.847701863e-006,0.001782787436)	(0.0002392059452,-2.156655182e-005)	(-6.032509455e-005,0.0001569380225)
